electric,GDP,Imports,Exports,Credits,India,GDPP
1806.67,2.83E+12,1.93E+11,2.67E+11,1.12E+12,0.00E+00,3.053462
1882.264,2.86E+12,1.92E+11,2.97E+11,1.28E+12,0.00E+00,1.140829
1956.159,3.03E+12,2.12E+11,3.40E+11,1.43E+12,0.00E+00,5.759965
2015.8,3.12E+12,2.27E+11,3.73E+11,1.65E+12,0.00E+00,3.202131
2072.363,3.25E+12,2.68E+11,3.91E+11,2.00E+12,0.00E+00,3.961989
2167.607,3.44E+12,3.20E+11,4.15E+11,2.38E+12,0.00E+00,6.069871
2229.845,3.62E+12,3.75E+11,4.16E+11,2.67E+12,0.00E+00,5.094195
2197.126,3.61E+12,3.46E+11,3.78E+11,3.02E+12,0.00E+00,-0.12581
2374.117,3.89E+12,4.63E+11,4.22E+11,3.63E+12,0.00E+00,7.528226
2430.803,4.04E+12,5.06E+11,4.43E+11,4.16E+12,0.00E+00,3.974423
410.6448,4.71E+13,6.59E+12,6.35E+12,1.44E+13,1.00E+00,3.803975
430.4832,5.08E+13,7.51E+12,6.96E+12,1.58E+13,1.00E+00,7.860381
4.52E+02,5.48E+13,9.18E+12,8.85E+12,1.87E+13,1.00E+00,7.922943
4.68E+02,5.91E+13,1.21E+13,1.12E+13,2.16E+13,1.00E+00,9.3
5.09E+02,6.39E+13,1.47E+13,1.34E+13,2.61E+13,1.00E+00,9.3
541.7384,6.88E+13,1.62E+13,1.42E+13,3.03E+13,1.00E+00,9.8
561.2476,7.09E+13,1.99E+13,1.63E+13,3.81E+13,1.00E+00,3.9
5.98E+02,7.65E+13,1.95E+13,1.55E+13,4.54E+13,1.00E+00,8.5
6.40E+02,8.30E+13,2.26E+13,1.86E+13,5.60E+13,1.00E+00,10.3
6.97E+02,8.74E+13,2.72E+13,2.14E+13,6.65E+13,1.00E+00,6.6
4528.816,2.08E+12,4.48E+11,6.69E+11,8.34E+11,0.00E+00,3.700382
4559.775,2.14E+12,4.84E+11,6.70E+11,9.47E+11,0.00E+00,2.949079
4.59E+03,2.24E+12,5.59E+11,6.89E+11,1.04E+12,0.00E+00,4.554553
4.64E+03,2.36E+12,6.20E+11,7.48E+11,1.18E+12,0.00E+00,5.277056
4.72E+03,2.49E+12,7.33E+11,8.03E+11,1.43E+12,0.00E+00,5.603798
4851.693,2.62E+12,8.02E+11,8.66E+11,1.74E+12,0.00E+00,5.360476
4665.176,2.71E+12,8.25E+11,8.80E+11,2.00E+12,0.00E+00,3.191047
4.43E+03,2.67E+12,6.79E+11,7.30E+11,2.11E+12,0.00E+00,-1.53809
4.54E+03,2.75E+12,7.52E+11,7.86E+11,2.24E+12,0.00E+00,3.039731
4.57E+03,2.84E+12,8.42E+11,8.14E+11,2.29E+12,0.00E+00,3.284168
10813.12,1.15E+12,1.40E+11,2.09E+11,7.48E+11,0.00E+00,4.001431
10434.87,1.18E+12,1.58E+11,2.10E+11,8.31E+11,0.00E+00,2.98596
1.06E+04,1.23E+12,1.79E+11,2.13E+11,9.31E+11,0.00E+00,4.055503
1.05E+04,1.27E+12,2.02E+11,2.20E+11,1.05E+12,0.00E+00,3.204199
1.05E+04,1.31E+12,2.18E+11,2.27E+11,1.18E+12,0.00E+00,2.794529
10972.89,1.36E+12,2.41E+11,2.36E+11,1.59E+12,0.00E+00,3.844301
10749.11,1.41E+12,2.76E+11,2.46E+11,1.88E+12,0.00E+00,3.657944
1.08E+04,1.43E+12,2.67E+11,2.52E+11,1.90E+12,0.00E+00,1.936905
1.07E+04,1.46E+12,2.86E+11,2.64E+11,2.00E+12,0.00E+00,2.06752
1.06E+04,1.50E+12,3.15E+11,2.66E+11,2.14E+12,0.00E+00,2.462725
372.1906,6.38E+12,1.04E+12,7.63E+11,1.66E+12,0.00E+00,3.22443
395.3927,6.69E+12,1.16E+12,9.79E+11,1.85E+12,0.00E+00,4.846321
4.13E+02,7.19E+12,1.06E+12,9.64E+11,2.43E+12,0.00E+00,7.368571
4.45E+02,7.74E+12,1.49E+12,1.06E+12,3.02E+12,0.00E+00,7.667304
4.66E+02,8.22E+12,1.77E+12,1.16E+12,3.47E+12,0.00E+00,6.177542
459.5606,8.61E+12,1.70E+12,1.18E+12,4.20E+12,0.00E+00,4.832817
422.0648,8.76E+12,1.80E+12,1.13E+12,5.45E+12,0.00E+00,1.701405
4.37E+02,9.01E+12,1.51E+12,1.09E+12,6.16E+12,0.00E+00,2.831659
4.42E+02,9.15E+12,1.58E+12,1.26E+12,6.87E+12,0.00E+00,1.606692
4.33E+02,9.40E+12,1.58E+12,1.29E+12,7.81E+12,0.00E+00,2.748403
8266.099,4.72E+14,5.67E+13,4.82E+13,1.16E+15,0.00E+00,0.117993
8164.934,4.79E+14,5.86E+13,5.28E+13,1.17E+15,0.00E+00,1.52822
8393.258,4.90E+14,6.34E+13,6.03E+13,1.16E+15,0.00E+00,2.204688
8539.011,4.98E+14,6.72E+13,6.46E+13,1.16E+15,0.00E+00,1.66267
8542.478,5.05E+14,7.04E+13,7.13E+13,1.13E+15,0.00E+00,1.420007
8710.026,5.13E+14,7.19E+13,7.75E+13,1.11E+15,0.00E+00,1.654184
8270.008,5.08E+14,7.24E+13,7.87E+13,1.12E+15,0.00E+00,-1.09354
8020.274,4.80E+14,6.11E+13,6.02E+13,1.15E+15,0.00E+00,-5.41641
8594.909,5.00E+14,6.79E+13,7.52E+13,1.16E+15,0.00E+00,4.191739
8099.599,5.00E+14,7.19E+13,7.51E+13,1.17E+15,0.00E+00,-0.11542
122.9864,3.85E+12,3.21E+11,2.41E+11,1.38E+12,0.00E+00,3.833124
129.3923,4.03E+12,3.48E+11,2.37E+11,1.49E+12,0.00E+00,4.739567
165.3083,4.24E+12,6.43E+11,4.40E+11,1.73E+12,0.00E+00,5.239533
176.0773,4.52E+12,8.88E+11,6.29E+11,2.04E+12,0.00E+00,6.535945
196.9399,4.82E+12,1.05E+12,7.89E+11,2.42E+12,0.00E+00,6.671905
206.1049,5.16E+12,1.22E+12,8.91E+11,2.75E+12,0.00E+00,7.058599
207.5269,5.47E+12,1.19E+12,9.54E+11,3.24E+12,0.00E+00,6.01379
226.0479,5.75E+12,1.16E+12,9.55E+11,3.71E+12,0.00E+00,5.045125
247.2634,6.07E+12,1.17E+12,9.63E+11,4.58E+12,0.00E+00,5.571802
265.6394,6.46E+12,1.51E+12,1.25E+12,5.61E+12,0.00E+00,6.464384
2014.477,4.09E+11,4.24E+10,1.01E+11,1.94E+11,0.00E+00,-10.8945
2180.327,4.45E+11,5.83E+10,1.07E+11,1.89E+11,0.00E+00,8.837041
2293.309,4.85E+11,8.17E+10,1.16E+11,2.02E+11,0.00E+00,9.029573
2408.433,5.28E+11,9.47E+10,1.31E+11,2.02E+11,0.00E+00,8.85166
2374.097,5.71E+11,1.05E+11,1.38E+11,1.99E+11,0.00E+00,8.047152
2455.657,6.22E+11,1.26E+11,1.49E+11,2.27E+11,0.00E+00,9.007651
2772.843,6.47E+11,1.43E+11,1.50E+11,2.47E+11,0.00E+00,4.057233
2730.123,6.09E+11,1.16E+11,1.36E+11,3.15E+11,0.00E+00,-5.91853
2877.653,6.71E+11,1.57E+11,1.55E+11,4.14E+11,0.00E+00,10.1254
2929.075,7.11E+11,1.92E+11,1.62E+11,5.66E+11,0.00E+00,6.003952
6900.781,2.40E+12,6.43E+11,7.33E+11,3.05E+12,0.00E+00,0
7.01E+03,2.38E+12,6.80E+11,7.46E+11,3.04E+12,0.00E+00,-0.70991
7.11E+03,2.41E+12,7.34E+11,8.32E+11,3.05E+12,0.00E+00,1.16997
7.14E+03,2.43E+12,7.76E+11,8.87E+11,3.05E+12,0.00E+00,0.706714
7.21E+03,2.52E+12,8.63E+11,9.96E+11,3.05E+12,0.00E+00,3.70016
7.23E+03,2.60E+12,9.16E+11,1.09E+12,3.03E+12,0.00E+00,3.260535
7.19E+03,2.63E+12,9.37E+11,1.11E+12,3.13E+12,0.00E+00,1.082315
6.82E+03,2.48E+12,8.47E+11,9.52E+11,3.16E+12,0.00E+00,-5.61886
7.26E+03,2.58E+12,9.56E+11,1.09E+12,4.25E+12,0.00E+00,4.079933
7.28E+03,2.67E+12,1.02E+12,1.18E+12,4.38E+12,0.00E+00,3.66
2820.551,5.55E+11,3.62E+11,4.85E+11,5.50E+11,0.00E+00,5.390988
2914.674,5.87E+11,3.78E+11,5.10E+11,5.86E+11,0.00E+00,5.788499
2984.361,6.26E+11,4.53E+11,5.92E+11,6.04E+11,0.00E+00,6.783438
2873.735,6.60E+11,4.93E+11,6.41E+11,6.40E+11,0.00E+00,5.332139
3065.572,6.97E+11,5.33E+11,6.84E+11,6.84E+11,0.00E+00,5.584847
3272.896,7.41E+11,5.65E+11,7.14E+11,7.28E+11,0.00E+00,6.298786
3286.091,7.76E+11,5.79E+11,7.26E+11,8.53E+11,0.00E+00,4.83177
3942.089,7.65E+11,5.05E+11,6.47E+11,9.34E+11,0.00E+00,-1.51353
4145.521,8.21E+11,5.83E+11,7.14E+11,1.01E+12,0.00E+00,7.424847
4102.621,8.65E+11,6.20E+11,7.44E+11,1.13E+12,0.00E+00,5.293913
1843.964,1.29E+13,3.49E+12,3.10E+12,2.68E+12,0.00E+00,-0.03984
2001.018,1.31E+13,3.58E+12,3.16E+12,2.78E+12,0.00E+00,1.446383
1927.074,1.36E+13,4.01E+12,3.69E+12,2.85E+12,0.00E+00,3.920591
1996.393,1.39E+13,4.36E+12,3.98E+12,2.96E+12,0.00E+00,2.307807
2020.953,1.45E+13,4.36E+12,3.98E+12,3.42E+12,0.00E+00,4.495078
2047.531,1.48E+13,4.57E+12,4.06E+12,3.80E+12,0.00E+00,2.291446
2046.694,1.50E+13,4.72E+12,4.02E+12,3.89E+12,0.00E+00,1.143585
1995.298,1.42E+13,3.97E+12,3.58E+12,4.28E+12,0.00E+00,-5.28574
2018.827,1.49E+13,4.65E+12,4.38E+12,4.62E+12,0.00E+00,5.118118
2216.906,1.55E+13,4.91E+12,4.72E+12,5.03E+12,0.00E+00,3.663008
24620.34,2.30E+12,5.15E+11,1.05E+12,1.42E+12,0.00E+00,1.437709
23201.39,2.32E+12,5.21E+11,1.05E+12,1.50E+12,0.00E+00,0.919842
24214.11,2.41E+12,5.68E+11,1.06E+12,1.67E+12,0.00E+00,3.959038
25083.21,2.47E+12,6.13E+11,1.06E+12,1.91E+12,0.00E+00,2.624721
24099.93,2.53E+12,6.69E+11,1.05E+12,2.09E+12,0.00E+00,2.395092
24855,2.61E+12,7.36E+11,1.07E+12,2.51E+12,0.00E+00,2.985055
24866.13,2.62E+12,7.59E+11,1.07E+12,2.79E+12,0.00E+00,0.480744
23859.71,2.58E+12,6.81E+11,1.02E+12,2.76E+12,0.00E+00,-1.691
24890.92,2.59E+12,7.38E+11,1.03E+12,2.92E+12,0.00E+00,0.691663
23510.38,2.62E+12,7.67E+11,1.02E+12,3.14E+12,0.00E+00,0.971935
303.1085,3.97E+12,1.18E+12,9.90E+11,6.85E+11,0.00E+00,3.964676
326.2582,4.20E+12,1.31E+12,1.02E+12,7.48E+11,0.00E+00,5.940269
354.3584,4.43E+12,1.43E+12,1.10E+12,8.99E+11,0.00E+00,5.445061
400.1026,4.71E+12,1.46E+12,1.18E+12,1.07E+12,0.00E+00,6.241748
403.0773,5.07E+12,1.56E+12,1.22E+12,1.37E+12,0.00E+00,7.668292
420.3196,5.41E+12,1.62E+12,1.31E+12,1.59E+12,0.00E+00,6.796826
426.3915,5.73E+12,1.69E+12,1.31E+12,1.89E+12,0.00E+00,5.950088
425.1247,5.94E+12,1.53E+12,1.15E+12,1.89E+12,0.00E+00,3.538912
459.6842,6.41E+12,1.72E+12,1.25E+12,2.28E+12,0.00E+00,8.015967
502.1406,6.95E+12,2.13E+12,1.38E+12,3.87E+12,0.00E+00,8.404733
6142.75,1.43E+12,3.93E+11,3.53E+11,1.51E+12,0.00E+00,2.499727
6174.551,1.47E+12,4.05E+11,3.64E+11,1.65E+12,0.00E+00,3.339456
6138.754,1.51E+12,4.32E+11,3.84E+11,1.84E+12,0.00E+00,2.347792
6270.984,1.56E+12,4.63E+11,4.14E+11,2.03E+12,0.00E+00,3.148724
6200.554,1.60E+12,5.09E+11,4.64E+11,2.28E+12,0.00E+00,2.548078
6102.397,1.64E+12,4.97E+11,4.60E+11,2.64E+12,0.00E+00,2.545501
6015.727,1.63E+12,4.88E+11,4.62E+11,3.06E+12,0.00E+00,-0.34586
5643.129,1.56E+12,4.46E+11,4.23E+11,3.20E+12,0.00E+00,-4.24661
5700.856,1.59E+12,4.82E+11,4.47E+11,3.26E+12,0.00E+00,1.711206
5471.924,1.61E+12,4.86E+11,4.76E+11,3.22E+12,0.00E+00,1.64477
,,,,,,
,,,,,,
